time,open,high,low,close,volume
1704067200,2300,2303.65,2298.69,2302.16,769
1704070800,2302.16,2315.78,2299.86,2312.86,679
1704074400,2312.86,2321.83,2309.23,2321.3,601
1704078000,2321.3,2331,2318.6,2327.11,571
1704081600,2327.11,2339.91,2322.59,2338.19,520
1704085200,2338.19,2349.11,2337.59,2348.82,596
1704088800,2348.82,2353.24,2346.24,2348.37,817
1704092400,2348.37,2365.82,2346.17,2364.72,674
1704096000,2364.72,2367.18,2362.32,2362.77,529
1704099600,2362.77,2380.87,2362.76,2377.05,991
1704103200,2377.05,2381.67,2371.51,2374.01,597
1704106800,2374.01,2384.1,2370.32,2383.86,956
1704110400,2383.86,2390.73,2379.33,2388.6,536
1704114000,2388.6,2394.69,2384.6,2390,821
1704117600,2390,2390.16,2385.67,2389.73,919
1704121200,2389.73,2391.94,2385.42,2390.44,964
1704124800,2390.44,2392.11,2388.93,2389.02,976
1704128400,2389.02,2391.11,2382.5,2386.32,934
1704132000,2386.32,2391.52,2385.33,2389.45,823
1704135600,2389.45,2392.86,2378.89,2383.36,603
1704139200,2383.36,2385.01,2373.35,2375.91,514
1704142800,2375.91,2379.85,2370.07,2370.86,888
1704146400,2370.86,2372.85,2364.04,2365.91,922
1704150000,2365.91,2370.59,2358.77,2360,543
1704153600,2360,2360.09,2351.36,2354.81,891
1704157200,2354.81,2356.16,2344.82,2346.36,826
1704160800,2346.36,2347.24,2329.58,2333,988
1704164400,2333,2333.53,2326.32,2329.01,973
1704168000,2329.01,2331.7,2311.99,2314.38,859
1704171600,2314.38,2316.34,2310.23,2312.6,534
1704175200,2312.6,2314.66,2302.29,2303.34,791
1704178800,2303.34,2305.96,2287.85,2290.23,652
1704182400,2290.23,2294.38,2275.93,2278.67,760
1704186000,2278.67,2279.38,2268.32,2269.46,911
1704189600,2269.46,2273.9,2259.5,2260.53,908
1704193200,2260.53,2261.96,2250.03,2253.37,956
1704196800,2253.37,2255.19,2242.24,2245.92,947
1704200400,2245.92,2247.85,2234.24,2238.28,961
1704204000,2238.28,2242.02,2232.83,2233.47,687
1704207600,2233.47,2234.09,2224.05,2225.43,951
1704211200,2225.43,2226.68,2215.95,2219.86,559
1704214800,2219.86,2220.12,2212.11,2215.1,841
1704218400,2215.1,2218.71,2213.45,2215.21,929
1704222000,2215.21,2218.2,2204.86,2207.89,929
1704225600,2207.89,2210.33,2206.59,2207.4,699
1704229200,2207.4,2212.7,2204.81,2208.8,874
1704232800,2208.8,2211.79,2205.67,2206.07,947
1704236400,2206.07,2208.61,2205.61,2207.47,962
1704240000,2207.47,2213.65,2205.11,2210.77,750
1704243600,2210.77,2215.02,2208.51,2213.43,958
1704247200,2213.43,2221.72,2210.75,2218.78,587
1704250800,2218.78,2225.2,2215.1,2223.01,767
1704254400,2223.01,2237.26,2220.98,2234.38,843
1704258000,2234.38,2238.36,2233.66,2236.31,832
1704261600,2236.31,2245.86,2232.52,2242.71,613
1704265200,2242.71,2253.42,2238.51,2251.79,689
1704268800,2251.79,2265.08,2248.74,2262.78,711
1704272400,2262.78,2270.78,2259.69,2268.19,673
1704276000,2268.19,2283.87,2264.65,2281.09,527
1704279600,2281.09,2298.81,2280.41,2294.77,684
1704283200,2294.77,2299.19,2292.49,2299.11,986
1704286800,2299.11,2307.72,2298.99,2306.81,504
1704290400,2306.81,2321.39,2304.51,2319.24,884
1704294000,2319.24,2327.76,2315.54,2325.32,885
1704297600,2325.32,2335.83,2322.32,2332.95,538
1704301200,2332.95,2346.37,2328.6,2344.85,671
1704304800,2344.85,2353.98,2341.41,2349.74,710
1704308400,2349.74,2363.54,2349.4,2362.34,873
1704312000,2362.34,2371.05,2358.28,2367.22,548
1704315600,2367.22,2379,2364.92,2375.4,686
1704319200,2375.4,2378.3,2372.22,2375.69,656
1704322800,2375.69,2380.1,2373.49,2379.56,678
1704326400,2379.56,2387.16,2379.13,2387.12,644
1704330000,2387.12,2395.52,2382.48,2391.67,562
1704333600,2391.67,2392.31,2381.52,2385.54,628
1704337200,2385.54,2391.29,2384.94,2388.36,783
1704340800,2388.36,2391.44,2386.55,2389.07,787
1704344400,2389.07,2392.79,2382.51,2386.41,725
1704348000,2386.41,2386.87,2378.3,2381.69,655
1704351600,2381.69,2382.79,2377.47,2381.34,533
1704355200,2381.34,2383.21,2377.01,2380.89,654
1704358800,2380.89,2382.07,2375.02,2375.95,738
1704362400,2375.95,2377.63,2365.5,2368.01,911
1704366000,2368.01,2370.74,2356.92,2359.86,578
1704369600,2359.86,2360.34,2354.07,2356.83,954
1704373200,2356.83,2358.68,2343.08,2346.51,940
1704376800,2346.51,2349.61,2334.03,2335.61,641
1704380400,2335.61,2338.75,2319.68,2323.77,565
1704384000,2323.77,2324.79,2311.63,2314.98,753
1704387600,2314.98,2315.26,2307.75,2309.91,669
1704391200,2309.91,2312.21,2294.15,2297.19,629
1704394800,2297.19,2300.25,2290.93,2295.16,828
1704398400,2295.16,2296.93,2282.5,2283.47,581
1704402000,2283.47,2287.06,2267.45,2269.29,883
1704405600,2269.29,2273.26,2264.78,2267.86,757
1704409200,2267.86,2269.53,2258.66,2259.55,782
1704412800,2259.55,2263.94,2244.97,2245.29,852
1704416400,2245.29,2245.56,2240.4,2242.59,719
1704420000,2242.59,2246.84,2225.39,2228.8,872
1704423600,2228.8,2232.89,2228.34,2228.69,637
1704427200,2228.69,2231.07,2219.23,2221.27,683
1704430800,2221.27,2222.26,2217.19,2221.9,591
